"dt","weather_main","weather_desc","temp"
"1717362000","Rain","moderate rain",284.6
"1717358400","Rain","moderate rain",285.34
"1717354800","Rain","moderate rain",285.86
"1717351200","Rain","light rain",285.74
"1717347600","Rain","light rain",285.73
"1717344000","Mist","mist",285.77
"1717340400","Clouds","overcast clouds",286.12
"1717336800","Clouds","overcast clouds",286.01
"1717333200","Clouds","broken clouds",285.88
"1717329600","Clouds","overcast clouds",285.78
"1717326000","Clouds","broken clouds",285.32
"1717322400","Clouds","broken clouds",285.45
"1717318800","Clouds","broken clouds",285.82
"1717315200","Clouds","broken clouds",286.23
"1717311600","Clouds","broken clouds",286.36
"1717308000","Clouds","broken clouds",286.74
"1717304400","Clouds","broken clouds",286.81
"1717300800","Clouds","broken clouds",286.64
"1717297200","Clouds","broken clouds",287.15
"1717293600","Clouds","broken clouds",288.05
"1717290000","Clouds","overcast clouds",287.45
"1717286400","Clouds","broken clouds",287.7
"1717282800","Clouds","overcast clouds",289.06
"1717279200","Clouds","overcast clouds",289.05
"1717275600","Clouds","broken clouds",288.8
"1717272000","Clouds","overcast clouds",287.4
"1717268400","Clouds","overcast clouds",285.74
"1717264800","Clouds","overcast clouds",285.31
"1717261200","Mist","mist",284.77
"1717257600","Mist","mist",284.46
"1717254000","Mist","mist",284.45
"1717250400","Mist","mist",284.82
"1717246800","Mist","mist",284.91
"1717243200","Mist","mist",285.32
"1717239600","Clouds","overcast clouds",285.53
"1717236000","Clouds","overcast clouds",285.95
"1717232400","Clouds","overcast clouds",286.11
"1717228800","Clouds","overcast clouds",286.43
"1717225200","Clouds","overcast clouds",287.04
"1717221600","Clouds","overcast clouds",287.27
"1717218000","Clouds","broken clouds",287.57
"1717214400","Clouds","broken clouds",287.63
"1717210800","Clouds","overcast clouds",287.62
"1717207200","Clouds","broken clouds",288.45
"1717203600","Clouds","broken clouds",289.57
"1717200000","Clouds","broken clouds",289.89
"1717196400","Clouds","broken clouds",289.28
"1717192800","Clouds","broken clouds",288.81
"1717189200","Clouds","broken clouds",288.69
"1717185600","Clouds","broken clouds",287.71
"1717182000","Clouds","broken clouds",287.3
"1717178400","Clouds","broken clouds",286.29
"1717174800","Clouds","broken clouds",286.76
"1717171200","Clouds","broken clouds",285.82
"1717167600","Clouds","few clouds",284.54
"1717164000","Clouds","few clouds",283.35
"1717160400","Clouds","few clouds",280.62
"1717156800","Clouds","few clouds",280.46
"1717153200","Clouds","few clouds",280.76
"1717149600","Clouds","few clouds",281.39
"1717146000","Clouds","few clouds",281.95
"1717142400","Clouds","few clouds",282.6
"1717138800","Clouds","few clouds",283.19
"1717365600","Rain","heavy intensity rain",284.3
"1717387200","Clouds","overcast clouds",285.69
"1717383600","Clouds","overcast clouds",285.21
"1717380000","Mist","mist",284.93
"1717376400","Rain","moderate rain",285.3
"1717372800","Rain","light rain",285.5
"1717369200","Rain","light rain",285.15
"1717390800","Clouds","overcast clouds",285.72
"1717462800","Clouds","overcast clouds",285.83
"1717459200","Clouds","broken clouds",286.75
"1717455600","Clouds","broken clouds",288.21
"1717452000","Clouds","broken clouds",288.78
"1717448400","Clouds","overcast clouds",285.98
"1717444800","Clouds","overcast clouds",286.34
"1717441200","Clouds","broken clouds",286.45
"1717437600","Clouds","broken clouds",285.31
"1717434000","Clouds","overcast clouds",284.31
"1717430400","Clouds","overcast clouds",285.18
"1717426800","Clouds","broken clouds",284.81
"1717423200","Clouds","scattered clouds",284.32
"1717419600","Clouds","broken clouds",284.06
"1717416000","Rain","moderate rain",284.8
"1717412400","Rain","moderate rain",284.89
"1717408800","Clouds","overcast clouds",285.02
"1717405200","Clouds","overcast clouds",285.34
"1717401600","Clouds","overcast clouds",285.68
"1717398000","Clouds","overcast clouds",285.74
"1717394400","Clouds","overcast clouds",285.91
"1717466400","Rain","light rain",284.84
"1717570800","Clouds","scattered clouds",283.65
"1717567200","Clouds","few clouds",284.4
"1717563600","Clouds","broken clouds",284.59
"1717560000","Clouds","few clouds",285.6
"1717556400","Clouds","few clouds",287.05
"1717552800","Clouds","few clouds",287.8
"1717549200","Clouds","scattered clouds",288.05
"1717545600","Clouds","scattered clouds",288.41
"1717542000","Clouds","scattered clouds",289.82
"1717538400","Clouds","few clouds",289.19
"1717534800","Clouds","broken clouds",288.57
"1717531200","Clouds","broken clouds",288.17
"1717527600","Clouds","broken clouds",287.04
"1717524000","Clouds","broken clouds",286.19
"1717520400","Mist","mist",284.9
"1717516800","Clouds","broken clouds",284.79
"1717513200","Mist","mist",284.11
"1717509600","Rain","moderate rain",283.21
"1717506000","Rain","moderate rain",282.88
"1717502400","Rain","heavy intensity rain",282.71
"1717498800","Clouds","overcast clouds",283.02
"1717495200","Clouds","overcast clouds",283.12
"1717491600","Clouds","overcast clouds",283.4
"1717488000","Clouds","overcast clouds",283.52
"1717484400","Clouds","overcast clouds",283.54
"1717480800","Clouds","overcast clouds",283.61
"1717477200","Clouds","overcast clouds",284.65
"1717473600","Clouds","overcast clouds",285.29
"1717470000","Clouds","overcast clouds",285.67